review,sentiment
"Snakes on a Train is a movie I rented due to the pure amusement of the thoughts I had, about the movie. Snakes on a Plane was an enjoyable Action film, so obviously the film makers wanted to cash in on the success, with this low budget effort. At 85 minutes, Snakes on a Train is almost unbearable to witness. I had to keep pausing the film to do something to entertain myself, due to the lack of happenings in the film. Throughout the duration of the film, it's never fully explained why this girl has this curse, or why she keeps coughing up this green/purplish goo constantly. Not only that, there is endless boring dialog of the two main characters, Brujo and Alma discussing how to get rid of the curse. I can appreciate low budget film-making. I'm truly not picky on movies, i'm open to any genre or budget, but Snakes On A Train is truly one of the worst Horror films I have ever seen. Were the writers on Acid or something at the end of this film?. Why did the woman suddenly turn into a giant snake? and most importantly how on earth was it able to devour the train?.<br /><br />Bottom line. Snakes on a Train is a movie that needs to be avoided at all costs. Don't be intrigued like I was by the title, this is a movie that's seriously bad. Let's put these snakes to rest<br /><br />0/10",negative
"I may be a sentimentalist. But i found this movie truly moving. It was the first movie that reduced me to tears. And it did it more than once!! I recommend it to anyone both gay and str8. Religious or not! Supporting co-star Jackie Bisset stole the show, especially with her one liners. The nude scenes were superbly crafted as well, and all in were good taste. Most shocking was the portrayal of the orientation reversal deprogramming instituted by the Mormon church to the lead character. It shocked me that this still goes on in the world. Nevertheless I enjoyed this movie tremendously. This is definitely the best gay film since Torch Song Trilogy. And much better than the other gay movie offering that year - The Fluffer.",positive
"The movie is good and I think Tiffany Amber is very beautiful. I liked the movie. Can anyone tell me how I can get hold of the songs from this movie? Even the soundtrack will do. If that's not possible, can I at least get the names of the songs with their respective singers? I tried to look up amazon.com but its not there. I tried CD baby, not there either. I browsed through Google to get some details but there weren't any. I would appreciate it if someone could give me the answer to my question. I know that the songs belong to Country Music and is sung by a country artist. I just need the title names along with the singer. I would recommend this movie or rather the songs to any country loving person.",positive
"The film begins with a little girl (Rita) seeing her father killed. He apparently was a criminal who squealed on his fellow crooks. Later, and this part makes little sense, the girl has grown to adulthood and STILL her father's past haunts her! A bit later, Rita meets a good-for-nothing and dates him. During one of their dates, he's a bit intoxicated AND driving like a total fool. The cops give chase and he speeds away--killing a pedestrian in the meantime. Here comes the Really stupid part. He convinces her to confess to the crime, as he assures her his lawyers can get her off scot-free. Why, oh why, would she agree to this?! Yet she does and spends the next couple years in prison!! And, soon after her conviction, this boyfriend disappears--showing that he's a total heel. What a chump!!! Later, after her release, her friend (Jack La Rue) informs her about the truth about the boyfriend. Then, he explains, the boyfriend's family is loaded and she should shake them down for lots of cash for all the trouble he put her to by taking the rap. Frankly, this does make sense--as they certainly owe it to her--especially since they knew she'd go to prison and had every intention of using her and then casting her aside.<br /><br />Now the idea of bleeding money from the rich chumps is a good plot idea. However, there is no way this would have occurred in the first place because it's hard to believe anyone could be so stupid as to take the rap for a hit-and-run! In an interesting twist, the dumb lady decides on a life of crime--donning a wig and picking up a rich guy--taking him into the desert and robbing him at gunpoint! Wow...how she's changed! Apparently she loves the idea of stealing from ""phonies""--i.e., rich hypocrites. However, and this made no sense, she soon stopped doing this and began shaking down the father of the old boyfriend--why she bothered to do some petty robberies in the meantime made little sense. And, what also was a bit hard to believe was that instead of wanting money from the old jerk, she was interested in getting him to put his influence behind a mob-controlled man for mayor. Odd...very, very odd.<br /><br />In the meantime, another plot develops involving a young Alan Ladd. He's an undercover agent who has infiltrated the mob. He was chosen because he just happens to be a dead ringer for a real crook--what a cliché! But what makes no sense is that this real crook isn't in jail and is out committing crimes while the fake one is infiltrating the mob in another town.<br /><br />Eventually, evidence that Ladd is able to uncover is enough to issue warrants to the mob kingpins--including Rita. This is a case of very bad timing, as in the interim, she's made a decision to become a decent and legitimate woman, as she's met a really nice guy who she wants to marry! Wow,...what are the odds?! Overall, this is a goofy and rather dumb movie that suffers from ""kitchen sink syndrome""--in other words, there is way too many plot elements and weird twists to make the movie the least bit believable. Plus, since the movie is only a little over an hour long, it all seems very forced and contrived. It's a relatively bad B-movie from crap-studio PRC of note only for the performance of Alan Ladd just before he gained great fame the following year at Paramount.<br /><br />By the way, this DVD was released by Alpha Video---a company which sometimes releases some wonderfully obscure titles (mostly public domain) but which NEVER cleans up the prints or adds closed captions. In other words, the DVD production values are strictly 3rd-rate...at best.",negative
"Considering 'A Star is Born' had been made twice already by the time the 1976 film came into production, the latest remake has a freshness about it that can be attributed to the fantastic chemistry between the entire acting ensemble. A viewer could be forgiven for believing that Kris Kristofferson & Barbara Streisand were a couple off screen as well as on, with their incredible displays of pure affection towards one another.<br /><br />The film has been described in the past as a 'Barbara Streisand concert on film, set to a soap opera storyline' however for anyone that enjoys watching a film that takes you beyond the living room into a world where the characters seem truly alive - A Star is Born is well worth the hiring price.<br /><br />With its incredible soundtrack, flawless acting and touching reality in regards to human emotions and the true frailty of life; A Star is Born is a film that draws you into the world of Esther Hoffman & the love of her life John Norman Howard.<br /><br />A film for anyone that sees the beauty in real love - the kind that keeps you devoted to a person even as they break your heart...",positive
"This show was so exhausting to watch and there's only two numbers Drowned World (Substitute For Love) and Paradise (Not For Me) were you can sit down and just contemplate it all. The opening of this show will go down in history as the most visually thrilling, as Madonna enters the stage via a gigantic Swarovski crystal ball that comes down from the ceiling and the huge screens from behind it show images of horses galloping. Horses play a role in this show due to Madonna falling off one. The infamous scene of Madonna on the crucifix is in this show as a huge screen counts to 12 million, the number of how many African children are orphaned due to Aids. At the end a website address comes up for anyone interested in donating. We then go into the theme of the environment and again images of politics and religion are shown. There's an interlude and then the show starts again to the music of I Love New York and Ray of Light this part of the show is one of my favorites with the dancers doing there funny hand movements. Towards the end there's the Music number with the song Disco Inferno mixed in with the song and the dancers make more of there presence known. The ending again is full of energy as the show wraps up to the tunes of Lucky Star and Hung Up and hundreds of golden balloons fall from the ceiling at the end the message ""Have you confessed?"" comes up. The DVD is worth buying and when it came out the soundtrack for the show was added as a bonus. Jonas Akerlund did a great job with the footage for this show keeping it consistent with the style of the tour.",positive
"When one considers that Carson McCullers is one of the foremost literary figures of the 20th century, it seems that it needs a very great lack of talent to be able to ruin one of her stories, but this movie shows it can be done! How do actors ingratiate their way to becoming directors? Wooden, unatmospheric, unsympathetic, totally out of sync with the poetic compassion of McCullers' writing, my jaw dropped with horror and disbelief that such a mish-mash of a movie could ever have found finance and backers. The only redeeming features are some moderately good acting, (although that said, Vanessa Redgrave seems to permanently render much the same performance whatever character she plays), and some good cinematography in places, but otherwise it is a bitter, bitter disappointment, and it could, and indeed should, have been a contemporary masterpiece. Simon Callow should hang his head in shame and stick to acting!",negative
"Thanks Jymn Magon, for creating Disney's 2 best cartoons ever. This show has improved very much over the years. As a kid, I didn't like it because I thought it was a rip-off of Ducktales, which was my favorite Disney thing at the time (like Grandmoffromero). Then later on though it was good but not great. But after reading the reviews here, I decided to give it another chance & bought the DVD set & watched the whole pilot the first day I got it, & was very pleasantly surprised. It's still my favorite episode, although the series did live up to it. And by the end of disc 1, I knew this was going to be a top tenner.<br /><br />The characters are so complex & charming. My favorite has got to be Wildcat. He's absolutely hilarious and sweet to boot. My next favorite is Baloo, the best pilot on the show. I can see why 'ol Jymn built the show around him. Then it's Kit Cloudkicker. He & Baloo have the best relationship in the series. After that, Louie. Jim Cummings did a perfect job of impersonating the original voice. After him, Rebecca. She has made me laugh pretty hard, and I do believe she and Baloo eventually marry. And finally(for the heroes), Molly. Although she's my least favorite, I still like her. I think she's a very cute character(much better than Webby from Ducktales). And the villains were very original. Don Karnage & his air pirates always crack me up, Kahn is ice-cold and ruthless, and the Thembrians are always at least amusing.<br /><br />As said before, the stories range from hilarious(Time Waits For No Bear, Romance of Red Chimp) to nothing short of touching(The Old Man & the Seaduck, Paradise Lost), to fun, funny & exciting adventures(In Search of Ancient Blunders & my favorite For Whom the Bell Klangs). These are only a few of my favorite episodes. Anyway, Talespin is Disney's best, aside from Gummi Bears Some reasons for this? GB had a decent amount of my favorite character(Cubbi), while TS didn't have enough of Wildcat. But in the end Talespin remains a classic. BOTTOM LINE- 10/10 6th best cartoon ever.",positive
"This movie is silly and very short of being a funny movie. Unhappy 'easterners' are not pleased with being out west; so they hire a drunk wagon master(John Candy)to lead them back east. Sight gags were just not funny enough to carry this one. And Richard Lewis gets on your nerves very quickly; but then I honestly don't like him at anything he does. Ed Lauter is hilarious as the bumbling villain.<br /><br />The movie was dedicated to Candy. He died from a massive heart attack ten days before the movie was completed. A stand in and digital enhancement enabled Candy's character to be seen in the final scenes. Candy was a very good comedian and gave us some real good knee slapping, belly laughs in his career. This movie was just not the caliber of his best.<br /><br />Also in the film, you will recognize: William Sanderson, Gailard Sartain, Ethan Phillips, Ellen Greene and Rodney A. Grant.",negative
"I highly reccommend this movie. It blurs the line between childhood fantasy and everyday reality in such a seamless fashion that it has to be seen to be believed. The actors and director have such perfect timing that in one scene a name calling fight becomes a sort of dance. I loved the story line, the actors, everything. While I do think there were one or two decidedly cheesy scenes, over-all the movie was impeccably done.",positive
